"","hour","wday","count"
"1","00","Friday",2778
"2","00","Monday",1376
"3","00","Saturday",4961
"4","00","Sunday",4584
"5","00","Thursday",1866
"6","00","Tuesday",1387
"7","00","Wednesday",1690
"8","01","Friday",1390
"9","01","Monday",623
"10","01","Saturday",3154
"11","01","Sunday",3474
"12","01","Thursday",743
"13","01","Tuesday",509
"14","01","Wednesday",694
"15","02","Friday",711
"16","02","Monday",370
"17","02","Saturday",2101
"18","02","Sunday",2309
"19","02","Thursday",352
"20","02","Tuesday",253
"21","02","Wednesday",285
"22","03","Friday",326
"23","03","Monday",215
"24","03","Saturday",1003
"25","03","Sunday",1270
"26","03","Thursday",192
"27","03","Tuesday",156
"28","03","Wednesday",188
"29","04","Friday",470
"30","04","Monday",396
"31","04","Saturday",461
"32","04","Sunday",459
"33","04","Thursday",381
"34","04","Tuesday",427
"35","04","Wednesday",466
"36","05","Friday",3421
"37","05","Monday",3139
"38","05","Saturday",617
"39","05","Sunday",477
"40","05","Thursday",3641
"41","05","Tuesday",3959
"42","05","Wednesday",4343
"43","06","Friday",10804
"44","06","Monday",11003
"45","06","Saturday",1847
"46","06","Sunday",1299
"47","06","Thursday",12811
"48","06","Tuesday",13729
"49","06","Wednesday",14241
"50","07","Friday",30504
"51","07","Monday",31073
"52","07","Saturday",4732
"53","07","Sunday",3209
"54","07","Thursday",34681
"55","07","Tuesday",36745
"56","07","Wednesday",38088
"57","08","Friday",49173
"58","08","Monday",44270
"59","08","Saturday",10052
"60","08","Sunday",6974
"61","08","Thursday",51416
"62","08","Tuesday",52071
"63","08","Wednesday",52905
"64","09","Friday",23443
"65","09","Monday",20381
"66","09","Saturday",15623
"67","09","Sunday",12051
"68","09","Thursday",22819
"69","09","Tuesday",21679
"70","09","Wednesday",23013
"71","10","Friday",11869
"72","10","Monday",9945
"73","10","Saturday",18847
"74","10","Sunday",17776
"75","10","Thursday",10590
"76","10","Tuesday",10248
"77","10","Wednesday",10771
"78","11","Friday",13855
"79","11","Monday",11384
"80","11","Saturday",21547
"81","11","Sunday",20794
"82","11","Thursday",12006
"83","11","Tuesday",11450
"84","11","Wednesday",12075
"85","12","Friday",17824
"86","12","Monday",14391
"87","12","Saturday",23321
"88","12","Sunday",23393
"89","12","Thursday",15427
"90","12","Tuesday",14730
"91","12","Wednesday",15653
"92","13","Friday",18141
"93","13","Monday",14255
"94","13","Saturday",22425
"95","13","Sunday",22679
"96","13","Thursday",15073
"97","13","Tuesday",14021
"98","13","Wednesday",14847
"99","14","Friday",16866
"100","14","Monday",12661
"101","14","Saturday",21462
"102","14","Sunday",22126
"103","14","Thursday",13053
"104","14","Tuesday",12325
"105","14","Wednesday",13337
"106","15","Friday",20746
"107","15","Monday",15676
"108","15","Saturday",21370
"109","15","Sunday",21739
"110","15","Thursday",16843
"111","15","Tuesday",15945
"112","15","Wednesday",16443
"113","16","Friday",31604
"114","16","Monday",26699
"115","16","Saturday",20243
"116","16","Sunday",21541
"117","16","Thursday",28775
"118","16","Tuesday",28826
"119","16","Wednesday",29585
"120","17","Friday",47547
"121","17","Monday",52364
"122","17","Saturday",19088
"123","17","Sunday",19867
"124","17","Thursday",54539
"125","17","Tuesday",57507
"126","17","Wednesday",57377
"127","18","Friday",36234
"128","18","Monday",43319
"129","18","Saturday",17700
"130","18","Sunday",17522
"131","18","Thursday",47480
"132","18","Tuesday",48468
"133","18","Wednesday",48104
"134","19","Friday",22954
"135","19","Monday",26425
"136","19","Saturday",14570
"137","19","Sunday",13843
"138","19","Thursday",29211
"139","19","Tuesday",30313
"140","19","Wednesday",30781
"141","20","Friday",15223
"142","20","Monday",17663
"143","20","Saturday",11129
"144","20","Sunday",10423
"145","20","Thursday",20250
"146","20","Tuesday",20077
"147","20","Wednesday",21017
"148","21","Friday",11306
"149","21","Monday",11731
"150","21","Saturday",9024
"151","21","Sunday",7049
"152","21","Thursday",13710
"153","21","Tuesday",13852
"154","21","Wednesday",14123
"155","22","Friday",8939
"156","22","Monday",7008
"157","22","Saturday",7241
"158","22","Sunday",5304
"159","22","Thursday",9395
"160","22","Tuesday",9181
"161","22","Wednesday",9310
"162","23","Friday",6654
"163","23","Monday",3579
"164","23","Saturday",6007
"165","23","Sunday",3016
"166","23","Thursday",5417
"167","23","Tuesday",4392
"168","23","Wednesday",4833
